id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude,models_agree,final_topic,final_subtopic,decision_method,needs_human_review,arb_primary_topic,arb_primary_subtopic,arb_primary_conf,arb_secondary_topic,arb_secondary_subtopic,arb_is_dual_modal,arb_decision,arb_conf_tier,secondary_primary_topic,secondary_primary_subtopic,is_dual_modal,confidence_tier,question,primary_survey
117,Government,Police,0.95,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Asks whether a police report was taken by a law enforcement agency regarding misuse — directly concerns police procedures tied to a crime.,Social,Crime,0.93,"[{'topic': 'Government', 'subtopic': 'Police'}]","Question addresses whether law enforcement took an official police report for identity theft, measuring crime reporting and documentation.",False,Government,Police,auto_dual_modal,False,Government,Police,0.95,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,Identity Theft Supplement (ITS)
118,Government,Police,0.95,"[{'topic': 'Economic', 'subtopic': 'Firms'}, {'topic': 'Social', 'subtopic': 'Crime'}]",Concerns possession and sharing of a police report (police/government function) and sending that report to a credit bureau (a firm) relating to an identity-theft crime.,Social,Crime,0.9,"[{'topic': 'Government', 'subtopic': 'Police'}]","Question asks about receipt and use of police report in identity theft case, measuring victim engagement with law enforcement and credit bureau coordination.",False,Government,Police,auto_dual_modal,False,Government,Police,0.95,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,Identity Theft Supplement (ITS)
119,Government,Police,0.95,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about satisfaction with a law enforcement agency's response when reporting misuse of personal information, directly addressing police response to a crime.",Social,Crime,0.91,"[{'topic': 'Government', 'subtopic': 'Police'}]","Question measures victim satisfaction with law enforcement response to identity theft report, assessing crime victim services quality.",False,Government,Police,auto_dual_modal,False,Government,Police,0.95,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,"38. How satisfied were you with the law enforcement agency’s response when you reported the misuse of your personal information? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",Identity Theft Supplement (ITS)
120,Government,Police,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Government', 'subtopic': 'Local Government'}]","Asks about dissatisfaction with a law enforcement agency's response, which directly relates to police performance and crime victim interactions with government authorities.",Social,Crime,0.92,"[{'topic': 'Government', 'subtopic': 'Police'}]","Question addresses satisfaction with law enforcement response to identity theft, which is a crime-related matter involving police interaction.",False,Social,Crime,auto_dual_modal,False,Social,Crime,0.92,Government,Police,True,auto_dual_modal,high,Government,Police,True,high,39. Why were you dissatisfied with the law enforcement agency’s response?,Identity Theft Supplement (ITS)
121,Social,Crime,0.85,"[{'topic': 'Government', 'subtopic': 'Police'}]","Asks why victims chose not to contact law enforcement about identity theft, which pertains to crime reporting behavior and interaction with police.",Social,Crime,0.93,"[{'topic': 'Government', 'subtopic': 'Police'}]","Question explores reasons for not reporting identity theft to law enforcement, directly related to crime reporting behavior and police engagement.",True,Social,Crime,agreement,False,,,,,,,,,,,,,40. We would like to learn more about why people who experience identity theft do not report it to law enforcement. Why did you decide not to contact a law enforcement agency?,Identity Theft Supplement (ITS)
122,Social,Crime,0.85,"[{'topic': 'Government', 'subtopic': 'Federal Government'}, {'topic': 'Government', 'subtopic': 'State Government'}, {'topic': 'Economic', 'subtopic': 'Business'}]","Asks which organizations (FTC, state AG, businesses, nongovernmental consumer agencies, credit services, lawyers, etc.) were contacted about misuse—relating to responses to a crime and contact with governmental and business entities.",Social,Crime,0.88,"[{'topic': 'Government', 'subtopic': 'Federal Government'}, {'topic': 'Government', 'subtopic': 'Local Government'}]","Question asks about contacting various organizations and agencies regarding identity theft, encompassing crime victim resources and government/non-government agencies.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"41. Next, I'm going to read you a list of other people and organizations that someone might contact when their personal information is misused. Which of the following people or organizations, if any, did you contact about misuse of your personal information? Did you... a.Contact the business or organization associated with the misuse? b.Hire a lawyer? c. Contact a State or local government consumer affairs agency, such as the State Attorney General's office? d.Contact the Federal Trade Commission? e.Contact a nongovernment consumer agency, such as the Better Business Bureau or the National Consumer League? f. Contact a government agency that issues documents like driver's licenses or Social Security cards? g.Contact a nongovernment agency that issues documents, such as insurance cards? h.Contact a credit monitoring service or identity theft insurance company? i. Contact an office or agency – other than the police – that deals with victims of crime? j. Contact some other group or organization not already mentioned?",Identity Theft Supplement (ITS)
123,Social,Occupation,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Asks whether identity theft affected job or school performance and relationships at work/school, which relates to occupation, schooling, and employment consequences.",Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question measures impact of identity theft on employment and education, assessing consequences of crime victimization on work and school performance.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.9,,,False,pick_haiku45,medium,,,False,medium,"42. The misuse of personal information affects people in different ways. Next, I would like to ask you some questions about how misuse of your personal information may have affected you. Did the misuse of your personal information lead you to have significant problems with your job or schoolwork or trouble with your boss, co-workers, or peers?",Identity Theft Supplement (ITS)
124,Social,Household,0.9,[],"Asks about negative effects on family members or friends and interpersonal trust/relationships, which falls under household and social relationship impacts.",Social,Crime,0.87,"[{'topic': 'Social', 'subtopic': 'Household'}]","Question examines how identity theft affects family and social relationships, measuring interpersonal impacts of crime victimization.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.88,,,False,pick_haiku45,medium,,,False,medium,"43. Did the misuse of your personal information lead you to have significant problems with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before?",Identity Theft Supplement (ITS)
125,Social,Disability,0.6,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]",Asks about level of distress from identity theft (a mental/psychological impact); this maps to disability/mental health impacts and may relate to seeking medical care.,Social,Crime,0.89,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Question measures psychological distress caused by identity theft, assessing emotional impact of crime victimization.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.92,,,False,pick_haiku45,low,,,False,low,"44. How distressing was the misuse of your personal information to you? Was it not at all distressing, mildly distressing, moderately distressing, or severely distressing?",Identity Theft Supplement (ITS)
126,Social,Disability,0.75,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Measures persistent emotional/psychological symptoms (anxiety, depression, vulnerability) lasting a month or more, which is a mental health/disability concern and may prompt medical care.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Medical Care'}]","Question documents emotional and psychological effects of identity theft over an extended period, measuring mental health impacts of crime victimization.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.9,,,False,pick_haiku45,medium,,,False,medium,45. Did you feel any of the following ways for A MONTH OR MORE because of misuse of your personal information? a. Worried or anxious? b. Angry? c. Sad or depressed? d. Vulnerable? e. Violated? f. Like you couldn’t trust people? g. Unsafe? h. Some other way?,Identity Theft Supplement (ITS)
127,Social,Medical Care,0.85,"[{'topic': 'Social', 'subtopic': 'Disability'}]","Asks whether the respondent sought professional help for emotional effects, directly relating to use of medical/mental health services and disability-related care.",Social,Medical Care,0.86,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question asks about seeking professional mental health support for identity theft-related emotional distress, addressing healthcare utilization for crime-related trauma.",True,Social,Medical Care,agreement,False,,,,,,,,,,,,,46a. Did you seek any kind of professional help for the feelings you experienced as a result of misuse of your personal information?,Identity Theft Supplement (ITS)
128,Social,Medical Care,0.9,"[{'topic': 'Social', 'subtopic': 'Disability'}]","Asks about physical health problems experienced for a month or more due to identity theft (headaches, insomnia, high blood pressure, etc.), which pertains to medical care and potential disability.",Social,Medical Care,0.88,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question documents physical health problems caused by identity theft, measuring somatic impacts of crime victimization on health.",True,Social,Medical Care,agreement,False,,,,,,,,,,,,,47. Did you experience any of the following physical problems caused by misuse of your personal information for A MONTH OR MORE? Did you experience... a. Headaches? b. Trouble sleeping? c. Changes in your eating or drinking habits? d. Upset stomach? e. Fatigue? f. High blood pressure? g. Muscle tension or back pain? h. Some other problem?,Identity Theft Supplement (ITS)
129,Social,Medical Care,0.9,"[{'topic': 'Social', 'subtopic': 'Disability'}]","Asks whether the respondent sought professional or medical help for physical problems caused by identity theft, clearly related to medical care and health impacts.",Social,Medical Care,0.87,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question asks about seeking professional or medical help for physical health problems related to identity theft, measuring healthcare utilization for crime-related health impacts.",True,Social,Medical Care,agreement,False,,,,,,,,,,,,,48. Did you seek any kind of professional or medical help for the physical problems you just reported?,Identity Theft Supplement (ITS)
150,Social,Crime,0.15,[],Question text is missing (NaN); defaulting to Social/Crime with low confidence because surrounding items are from a victimization survey.,,,0.0,[],Question text is missing (NaN); cannot categorize without content.,False,,,unresolved_disagreement,True,,,,,,,,,,,,,,Unknown
151,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Asks about unwanted contacts/behaviors (stalking, harassment, monitoring, online abuse), which is criminal victimization; includes electronic/social media behaviors relevant to internet use.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question comprehensively addresses unwanted contacts and behaviors including stalking, harassment, and cyberstalking—all forms of criminal victimization. Secondary concepts include technology-based harassment and potential impacts on well-being.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"SQ1. In the past 12 months, have you experienced any unwanted contacts or behaviors? By that I mean… SQ_FOLLOWED a. Has anyone followed you around and watched you? b. Has anyone snuck into your home, car, or any place else and done unwanted things to let you know they had been there? c. Has anyone waited for you at your home, work, school, or any place else when you didn't want them to? d. Has anyone shown up, ridden or driven by places where you were when they had no business being there? f. Has anyone harassed or repeatedly asked your friends or family for information about you or your whereabouts? g. Has anyone made unwanted phone calls to you, left voice messages, sent text messages, or used the phone excessivley to contact you? h. Has anyone spied on you or monitored your activities using technologies such as a listening device, camera, or computer or cell phone monitoring software? i. Has anyone tracked your whereabouts with an electronic tracking device or application, such as GPS or an application on your cell phone? j. Has anyone posted or threatened to post inappropriate, unwanted, or personal information about you on the internet, including private photographs, videos, or spreading rumors? k. Has anyone sent you unwanted e-mails or messages using the Internet, for example, using social media apps or websites like Instagram, Twitter, or Facebook? I. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",Supplemental Victimization Survey (SVS)
152,Social,Computer & Internet Use,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Specifically asks about monitoring via social media, which is primarily an internet/computer-use behavior and also a form of harassment/criminal behavior.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Question asks about social media monitoring as a form of unwanted behavior, which constitutes cyberstalking and criminal harassment. Computer & Internet Use is secondary as it involves the technology platform.",False,Social,Crime,auto_dual_modal,False,Social,Crime,0.92,Social,Computer & Internet Use,True,auto_dual_modal,high,Social,Computer & Internet Use,True,high,"SQ_SOCIALMEDIA l. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",Supplemental Victimization Survey (SVS)
153,Social,Crime,0.9,[],Asks whether unwanted contacts/behaviors occurred more than once (recurrence/frequency) in the context of victimization.,Social,Crime,0.9,[],"Question asks about repetition of unwanted contacts or behaviors, which is a key characteristic in defining stalking and harassment as crimes.",True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ_REPETITION SQ2. Has anyone done (this/any of these things) to you more than once in the past 12 months?,Supplemental Victimization Survey (SVS)
154,Social,Crime,0.92,[],"Asks whether the unwanted contacts/behaviors caused fear for personal or close persons' safety, a direct measure of victimization impact.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Disability'}]",Question measures fear for safety resulting from criminal victimization. Secondary concept includes potential psychological/emotional impacts on victims.,True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ_FEAR SQ3a. Did any of these unwanted contacts or behaviors make you fear for your safety or the safety of someone close to you?,Supplemental Victimization Survey (SVS)
155,Social,Crime,0.92,[],"Asks whether the behaviors caused substantial emotional distress, indicating the mental/psychological impact of criminal victimization.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Disability'}]",Question measures emotional distress caused by criminal victimization. Secondary concept reflects psychological impact on victims.,True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ_DISTRESS SQ3b. Did any of these unwanted contacts or behaviors cause you substantial emotional distress?,Supplemental Victimization Survey (SVS)
156,Social,Crime,0.93,"[{'topic': 'Housing', 'subtopic': 'Structure'}]","Asks about damage or attempted damage to property by the offender, a criminal act affecting household property (relevant to housing/structure).",Social,Crime,0.91,[],Question asks about property damage as a consequence of criminal behavior related to stalking or harassment.,True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ_PROPERTY SQ4. Did this person or these people damage or attempt to damage or destroy property belonging to you or someone else in your household?,Supplemental Victimization Survey (SVS)
157,Social,Crime,0.96,[],"Inquires whether the offender physically attacked, attempted to attack, or threatened to attack the respondent—direct violent victimization.",Social,Crime,0.94,[],"Question directly addresses physical assault and threats of violence, which are serious crimes and forms of victimization.",True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ5. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_SELF Physically attack you? Attempt to physically attack you? Threaten to physically attack you?,Supplemental Victimization Survey (SVS)
158,Social,Crime,0.96,[],"Asks whether the offender attacked, attempted to attack, or threatened someone close or a pet—directly addresses violent or threatening criminal behavior.",Social,Crime,0.93,[],"Question addresses physical attacks or threats against others close to the victim, measuring secondary victimization and criminal behavior.",True,Social,Crime,agreement,False,,,,,,,,,,,,,SQ6. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_OTH Physically attack someone close to you or a pet? Attempt to physically attack someone close to you or a pet? Threaten to physically attack someone close to you or a pet?,Supplemental Victimization Survey (SVS)
159,Social,Crime,0.94,[],"Asks for the number of different people who committed the unwanted contacts/behaviors in the past 12 months, a count of offenders in a victimization context.",Social,Crime,0.89,[],"Question asks about the number of perpetrators involved in criminal victimization, which is relevant to understanding the scope and nature of crime experienced.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"OFFENDER_NUMB OFFENDER_NUMBSP Q1. Thinking about the unwanted contacts or behaviors you experienced in the past 12 months, how many different people have done these things to you?",Supplemental Victimization Survey (SVS)
140,Economic,Expenses,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks for the dollar value of what was obtained via misuse of personal information (a monetary loss/expense), with identity theft being a form of crime.",Social,Crime,0.92,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}, {'topic': 'Economic', 'subtopic': 'Expenses'}]",Question directly addresses identity theft victimization and financial losses from criminal misuse of personal information. The dollar value assessment is secondary to the crime victimization focus.,False,Social,Crime,auto_dual_modal,False,Social,Crime,0.92,Economic,Expenses,True,auto_dual_modal,high,Economic,Expenses,True,high,"59. For the next few questions, please think about ALL of the misuses of your personal information during the last year, that is, since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR]. Including every incident that occurred over the past 12 months, not just the most recent, what is the approximate total dollar value of what someone obtained while misusing your personal information? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",Identity Theft Supplement (ITS)
141,Economic,Expenses,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Requests total additional costs (legal fees, overdraft fees, postage, etc.) incurred due to identity theft, which are economic expenses caused by a crime.",Social,Crime,0.9,"[{'topic': 'Economic', 'subtopic': 'Expenses'}, {'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question measures out-of-pocket costs incurred as a direct consequence of identity theft crime, including legal and administrative expenses related to victimization.",False,Economic,Expenses,auto_dual_modal,False,Economic,Expenses,0.9,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,"60. Not counting the dollars that were obtained during ALL incidents of identity theft in the past 12 months, what were the total additional costs, that YOU incurred as a result of the misuses of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",Identity Theft Supplement (ITS)
142,Social,Crime,0.85,[],"Asks whether someone ever, without permission, misused personal information — a question about occurrence of criminal identity misuse.",Social,Crime,0.95,[],"Question asks about lifetime history of identity theft victimization, which is a crime-related survey question measuring personal information misuse.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"61. Not including the past 12 months, has anyone EVER, without your permission:",Identity Theft Supplement (ITS)
143,Social,Crime,0.75,"[{'topic': 'Economic', 'subtopic': 'Expenses'}]","Asks about a range of problems (financial, legal, relationship, physical, emotional) experienced as a result of prior identity theft, centered on criminal victimization with economic impacts.",Social,Crime,0.88,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question measures consequences and impacts of identity theft crime on victim's life, including emotional distress, relationship problems, and work/school difficulties.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"62. At any point during the past 12 months did you experience credit or other financial problems, legal problems, relationship problems with family or friends, problems at work or school, physical problems, or emotional distress as a result of the identity theft that happened to you more than 12 months ago?",Identity Theft Supplement (ITS)
144,Social,Crime,0.8,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Lists multiple consequences (job/school, family, emotional and physical effects, credit/banking/legal issues) stemming from identity theft — primarily a crime issue with employment and health-related secondary impacts.",Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question comprehensively measures multi-dimensional consequences of identity theft crime including employment, relationships, emotional/physical health, credit, and legal impacts.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"63. During the past 12 months, have you experienced any of the following consequences as a result of the identity theft that occurred more than 12 months ago? Have you had… a.Significant problems with your job or schoolwork, or trouble with your boss, co-workers, or peers during the past 12 months? b.Significant problems during the past 12 months with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before? c. Experienced any of the following feelings for a month or more during the past 12 months: worry, anger, sadness or depression, vulnerability, feeling violated, like you couldn’t trust people, or feeling that you were unsafe? d.Had physical problems during the past 12 months resulting from the misuse of your personal information, such as headaches, trouble sleeping, changes in your eating or drinking habits, an upset stomach, high blood pressure or some other physical problem? e.Had credit related problems during the past 12 months, such as having to repeatedly correct the same information on your credit report, being turned down for credit, loans or having to pay higher rates? f. Had banking problems during the past 12 months, such as being turned down for a checking account or having checks bounce? g. Had debt collectors or collections departments contact you during the past 12 months? h. Had utilities cut off or been denied new service during the past 12 months? i. Been turned down for a job or lost a job during the past 12 months? j. Had legal problems, such as having a lawsuit filed against you or being the subject of an arrest or criminal proceedings, during the past 12 months? k. Had some other type of problems during the past 12 months?",Identity Theft Supplement (ITS)
145,Social,Crime,0.7,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Asks about preventive actions against identity theft (checking credit reports, changing passwords, security software), relating to crime prevention and computer/internet security behaviors.",Social,Crime,0.87,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}, {'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question measures preventive actions taken against identity theft crime, including credit monitoring, security measures, and protective services.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"64. Now I’m going to ask you about any actions taken to prevent someone from obtaining your personal information. In the past 12 months, that is since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR], have you: a. Checked your credit report? b. Changed passwords on any of your financial accounts? c. Purchased identity theft protection from a company that offers protection services? d. Purchased credit monitoring or identity theft insurance? e. Shredded or destroyed documents containing your personal information? f. Checked your banking or credit card statements for unfamiliar charges? g. Used security software program on your computer to protect against loss of credit cards/card theft?",Identity Theft Supplement (ITS)
146,Social,Crime,0.7,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]",Asks whether preventive actions taken in the past year were motivated by prior misuse of personal information — linking behaviors to prior criminal identity misuse and online security actions.,Social,Crime,0.9,[],"Question asks whether preventive actions were taken specifically in response to prior identity theft victimization, directly linking to crime prevention behavior.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"65. You said that during the past 12 months, you . Did you take any of these actions as a result of previous misuse of your personal information?",Identity Theft Supplement (ITS)
147,Social,Crime,0.7,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Requests which specific actions were taken in direct response to previous misuse of personal information, focusing on remedial actions following a criminal event and related computer/security measures.",Social,Crime,0.9,[],Question identifies which specific preventive actions were taken as direct response to identity theft crime victimization.,True,Social,Crime,agreement,False,,,,,,,,,,,,,66. You said that during the past 12 months you: . Which actions did you take in direct response to any previous misuse of your personal information?,Identity Theft Supplement (ITS)
148,Social,Crime,0.75,"[{'topic': 'Economic', 'subtopic': 'Business'}]","Asks whether organizations notified of potential data breaches or direct compromise of personal information, which concerns criminal data breaches and actions by businesses/organizations.",Social,Crime,0.88,"[{'topic': 'Government', 'subtopic': 'Federal Government'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Question measures data breach notifications from organizations, which relates to identity theft crime risk and victimization exposure.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"67. My final questions involve organizations that may have your personal information in their files. During the past 12 months, did a company, government agency, or some other organization that has your personal information: a. Notify you or announce publicly that some or all of their files or data may have been stolen, lost, or posted on a publicly available website? b. Did they notify you directly that YOUR personal information may have been stolen, lost, or posted on a publicly available website?",Identity Theft Supplement (ITS)
149,Social,Crime,0.65,"[{'topic': 'Government', 'subtopic': 'Federal Government'}]",Asks whether the compromised information included an SSN — a question about a sensitive identifier involved in identity theft (crime) and connected to a federal identifier administered by the federal government.,Social,Crime,0.85,[],"Question asks whether Social Security number was included in data breach, a critical component of identity theft crime risk assessment.",True,Social,Crime,agreement,False,,,,,,,,,,,,,68. Did this personal information include your Social Security number?,Identity Theft Supplement (ITS)
130,Social,Medical Care,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about seeking professional or medical help as a consequence of identity theft, so it relates primarily to medical care/health services with connection to a criminal incident.",Social,Medical Care,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question asks about professional or medical help sought in response to identity theft, which is a crime-related social issue requiring medical or professional intervention.",True,Social,Medical Care,agreement,False,,,,,,,,,,,,,49. What kind of professional or medical help did you seek?,Identity Theft Supplement (ITS)
131,Social,Crime,0.85,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","Asks whether the respondent knows information about the perpetrator(s) of the crime, which is a crime-related question and may also relate to the relationship to the suspect.",Social,Crime,0.95,[],"Question directly addresses knowledge about perpetrators of identity theft, a criminal offense.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"50. Do you know, or have you learned, anything at all about the person or persons who misused your personal information?",Identity Theft Supplement (ITS)
132,Demographic,Relationship,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Directly asks how well the respondent knew the person(s) (family member, friend, etc.), which is a relationship question; it is contextualized by an identity-theft crime.",Social,Crime,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}]","Question asks about the relationship between victim and perpetrator of identity theft, combining crime investigation with relationship categorization.",False,Demographic,Relationship,auto_dual_modal,False,Demographic,Relationship,0.9,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,"51. How well did you know this person or these people at the time of the incident? For example, was it a family member, friend, acquaintance, salesperson, or somebody else?",Identity Theft Supplement (ITS)
133,Economic,Expenses,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Requests the dollar value obtained by perpetrators (financial loss/impact), which is an economic/expense measurement tied to a criminal misuse of information.",Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question quantifies financial losses from identity theft crime, measuring the economic impact of criminal activity.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.9,,,False,pick_haiku45,medium,,,False,medium,"52. What is the approximate total dollar value of what someone obtained when they misused your personal information ? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",Identity Theft Supplement (ITS)
134,Economic,Expenses,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about the respondent's personal unreimbursed monetary loss, clearly an economic expense/loss resulting from a criminal act.",Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Question measures personal financial losses from identity theft after accounting for insurance/reimbursement, quantifying crime victim impact.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.88,,,False,pick_haiku45,medium,,,False,medium,"53. Of this that was obtained during misuse of your personal information, how much of that money did you personally lose? That is, how much did you lose that was not covered or reimbursed by insurance, bank, or credit card company?",Identity Theft Supplement (ITS)
135,Economic,Expenses,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about additional costs incurred (legal fees, overdrafts, postage), which are economic expenses arising from identity-theft crime.",Social,Crime,0.8,"[{'topic': 'Economic', 'subtopic': 'Expenses'}]","Question asks about additional costs incurred as a result of identity theft crime, including legal and administrative expenses.",False,Economic,Expenses,dual_modal,False,Economic,Expenses,0.85,Social,Crime,True,dual_modal,medium,Social,Crime,True,medium,"54a. Other than the costs you already told me about, , how much, IF ANY, additional costs did YOU incur as a result of misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages. 54b. How much, IF ANY, costs did YOU incur during misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",Identity Theft Supplement (ITS)
136,Economic,Expenses,0.75,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Concerns resolution of financial and credit problems (economic consequences) resulting from misuse of personal information, linking economic impacts to a crime.",Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Income'}]",Question assesses recovery from identity theft crime's financial and credit impacts on the victim.,False,Social,Crime,pick_haiku45,False,Social,Crime,0.9,,,False,pick_haiku45,medium,,,False,medium,55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,Identity Theft Supplement (ITS)
137,Economic,Expenses,0.75,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about the duration to clear financial/credit problems, which measures the economic impact (time-related costs) of a criminal event.",Social,Crime,0.85,[],Question measures time required to resolve financial and credit problems resulting from identity theft crime.,False,Social,Crime,pick_haiku45,False,Social,Crime,0.9,,,False,pick_haiku45,medium,,,False,medium,56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,Identity Theft Supplement (ITS)
138,Economic,"Hours/Week, Weeks/Year",0.9,"[{'topic': 'Economic', 'subtopic': 'Expenses'}, {'topic': 'Social', 'subtopic': 'Crime'}]","Asks for number of hours spent clearing up financial/credit problems, which maps to time-use (hours) and relates to economic costs from the crime.",Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question quantifies hours spent by victim resolving identity theft crime consequences, measuring time burden of victimization.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.88,,,False,pick_haiku45,medium,,,False,medium,57. How many hours clearing up financial or credit problems associated with misuse of your personal information?,Identity Theft Supplement (ITS)
