id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
877,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking how many days are in the school year pertains to school scheduling and educational calendar characteristics.,Social,Schools,0.9,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}]","Question asks about total number of school days in the academic year, which is a fundamental characteristic of school calendar and operations."
878,Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Government', 'subtopic': 'School Districts'}]",Requesting the type/description of the school is a classification of the school (educational and often district/administrative context).,Social,Schools,0.93,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Question asks for a classification or description of the school type, which is a basic characteristic of school organization and structure."
879,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Asking whether a school is a public charter concerns the school's governance/type, relevant to school classification and district/administrative status.",Social,Schools,0.91,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Question asks whether the school is a public charter school, which relates to school type and governance structure."
880,Government,School Districts,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asking about the governance structure of a public charter school pertains to administrative/authorizer and district-level arrangements (school district/authority). It is closely related to school organization and governance.,Government,School Districts,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses the governance structure of a public charter school, which is a school district administrative matter."
881,Social,School Enrollment,0.98,"[{'topic': 'Social', 'subtopic': 'Schools'}]","The question asks whether the school currently has students enrolled in kindergarten, which is a direct enrollment count/indicator. It pertains to student enrollment at the school level.",Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Question directly asks about student enrollment in kindergarten at a specific school.
882,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Children'}]","Asking about the length of the school day for kindergarten/transitional students addresses school scheduling and instructional time, a school operational characteristic. It also specifically concerns young students.",Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question pertains to school day length for kindergarten students, which is a school operations and policy matter."
883,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]",The question about the number of days in a typical school week is a school schedule/operational metric. It relates to how instruction is organized for enrolled students.,Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question addresses school week structure for kindergarten students, which is a school operations and scheduling matter."
884,Social,Schools,0.92,"[{'topic': 'Social', 'subtopic': 'Education'}]","Presence of a library media center is an item about school facilities and educational resources, which falls under school characteristics. It's directly tied to the school's educational infrastructure.",Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Question asks about school facilities and resources (library media center), which is a school infrastructure matter."
885,Social,COVID-19 Data,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","The question asks how the coronavirus pandemic affected instruction, clearly relating to COVID-19 impacts on schools. It also concerns changes to school instructional practices.",Social,COVID-19 Data,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Question directly addresses how the coronavirus pandemic affected school instruction during the 2019-20 school year.
886,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","How classes are normally taught (in-person, remote, hybrid) is a core school instructional modality question. It also implicates technology/online instruction usage.",Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Question pertains to instructional methods and teaching practices at the school level.
887,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]",Whether the school offers classes taught entirely online pertains to school program delivery modes and online instruction. This directly ties to school operations and technology-mediated instruction.,Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Question addresses online instruction offerings at the school, which relates to school educational delivery methods."
888,Social,School Enrollment,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]",Asking the percentage of students enrolled in at least one online class is a measurable enrollment characteristic (proportion enrolled in online courses). It also relates to school instructional modality and technology use.,Social,School Enrollment,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Question asks about the percentage of students enrolled in online classes, combining enrollment and instructional delivery data."
889,Social,Schools,0.92,"[{'topic': 'Social', 'subtopic': 'Education'}]","Whether a school has a magnet program concerns the type and programmatic offerings of the school, a school characteristic. It is directly relevant to education program classification.",Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Question addresses magnet program offerings, which is a school program and policy matter."
810,Economic,Nurses,0.9,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]","The question asks about supervisory/authorization requirements in an NP's clinical practice, which is a nursing workforce/occupation characteristic. It relates to occupation-level practice authority.",Economic,Occupation,0.85,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question addresses work requirements and supervision structure for nurse practitioners in their primary position, relating to occupational duties and employment conditions."
811,Economic,Nurses,0.9,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]","This asks about physician supervision/oversight of NP clinical care, a feature of nursing practice and job duties, so it maps to the nursing/occupation category.",Economic,Occupation,0.85,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question examines physician oversight requirements for NP patient care, which relates to occupational scope and employment supervision structure."
812,Economic,Nurses,0.9,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]","The item addresses required physician involvement in all NP patient encounters, a nursing practice/occupation attribute relevant to workforce regulation and scope of practice.",Economic,Occupation,0.85,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question addresses physician supervision requirements for all patients seen by NPs, relating to occupational scope and employment conditions."
813,Economic,Nurses,0.88,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Economic', 'subtopic': 'Occupation'}]",Whether an NP managed a patient panel reflects their role and responsibilities in the nursing workforce (occupation) and pertains to delivery of medical care.,Economic,Occupation,0.8,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question asks about patient panel management and primary provider role, which relates to occupational responsibilities and medical care delivery structure."
814,Economic,Nurses,0.85,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]",Asking the size of an NP's patient panel is a measure of their workload and practice role within the nursing workforce (occupation/practice characteristics).,Economic,Occupation,0.8,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question quantifies patient panel size for NPs, relating to occupational workload and medical care delivery metrics."
815,Demographic,Race,0.9,"[{'topic': 'Demographic', 'subtopic': 'Ethnicity'}, {'topic': 'Economic', 'subtopic': 'Nurses'}]","This requests the racial/ethnic composition of an NP's patient panel, which is fundamentally a demographic (race/ethnicity) measure, though reported in a nursing workforce context.",Social,Medical Care,0.85,"[{'topic': 'Demographic', 'subtopic': 'Race'}, {'topic': 'Demographic', 'subtopic': 'Ethnicity'}]","Question examines racial and ethnic composition of patient panels, relating to medical care delivery and demographic characteristics of served populations."
816,Social,Language,0.9,"[{'topic': 'Economic', 'subtopic': 'Nurses'}]",Limited English proficiency is a language characteristic of patients (Social: Language); the question frames it as a feature of the NP's patient panel.,Social,Medical Care,0.85,"[{'topic': 'Social', 'subtopic': 'Language'}, {'topic': 'Economic', 'subtopic': 'Nurses'}]","Question addresses language proficiency of patient panels, relating to medical care delivery and accessibility for limited English proficiency populations."
817,Economic,Health Insurance,0.95,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","The item asks about types of insurance coverage among an NP's patients, which directly maps to health insurance measures and relates to clinical care context in nursing.",Economic,Health Insurance,0.9,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Economic', 'subtopic': 'Nurses'}]","Question directly asks about insurance coverage types for patient panels, which is a core health insurance topic related to medical care delivery."
818,Economic,Nurses,0.9,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]","Holding the title 'Hospitalist' is an occupational/job title within the nursing workforce, so it fits under nurses/occupation characteristics.",Economic,Occupation,0.85,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question asks about specific occupational title (Hospitalist) held by NPs, relating to occupational classification and employment role."
819,Economic,Nurses,0.9,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Economic', 'subtopic': 'Employer'}]",Having hospital admitting privileges is a practice/credential attribute of an NP's clinical role (nursing workforce) and pertains to clinical care privileges often tied to employer/hospital affiliation.,Economic,Occupation,0.8,"[{'topic': 'Economic', 'subtopic': 'Nurses'}, {'topic': 'Social', 'subtopic': 'Medical Care'}]","Question addresses hospital admitting privileges, which relates to occupational scope and authority for healthcare providers in medical care delivery."
890,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about the structure and scope of a school's magnet program, which is a school-level education program characteristic.",Social,Schools,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks about school-wide magnet program participation, which is a school program characteristic affecting student enrollment and educational offerings."
891,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking about the focus of a magnet program concerns the school's educational program type and curriculum emphasis.,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the focus or subject area of magnet programs, which relates to school program characteristics and educational offerings."
892,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Child Care'}]","The question lists school program offerings and before/after-school services (educational programs and extended-day care), which are school program and child-care related.",Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Child Care'}]","Question asks about various school programs and services including instructional approaches, language programs, and before/after-school programs, all of which are school-based educational and support services."
893,Economic,Teacher,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","This asks for counts of teachers by time categories, which is workforce data specifically about teachers (teacher employment counts) at the school.",Economic,Teacher,0.93,"[{'topic': 'Economic', 'subtopic': 'Hours/Week, Weeks/Year'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about the number of teachers in different time categories (full-time, part-time), which relates to teacher employment and hours worked."
894,Economic,Employment Status,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Teacher'}]","The question requests numbers of staff in full- or part-time positions by category, which is employment-status/workforce information for school staff.",Economic,Payroll,0.85,"[{'topic': 'Economic', 'subtopic': 'Class of Worker'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about staff positions and assignments in full-time or part-time categories, which relates to employment classification and payroll staffing."
895,Economic,Employment Status,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Teacher'}]","Similar to the previous item, this asks for counts of staff by position type (full/part-time), indicating employment-status data for school personnel.",Economic,Payroll,0.85,"[{'topic': 'Economic', 'subtopic': 'Class of Worker'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about staff positions and assignments in full-time or part-time categories, which relates to employment classification and payroll staffing."
896,Economic,Teacher,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","The question concerns specialist teaching assignments (reading, math, science), which relates to teacher roles and staffing within the school workforce.",Economic,Teacher,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Occupation'}]","Question asks about specialist assignments for teachers and staff working with students, which relates to teacher roles and specialized occupations within schools."
897,Economic,Teacher,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","This asks about coaching assignments for teachers (reading coach, math coach), which are specific teacher/staff roles and thus workforce/teacher-related data.",Economic,Teacher,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Occupation'}]","Question asks about coaching assignments for teachers and staff, which relates to specialized teacher roles and professional development positions within schools."
898,Economic,Teacher,0.9,"[{'topic': 'Economic', 'subtopic': 'Labor Force'}, {'topic': 'Social', 'subtopic': 'Schools'}]","The question addresses difficulty filling teaching vacancies by field, which is about teacher hiring and labor-market conditions for school teachers.",Economic,Teacher,0.92,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about difficulty filling teaching vacancies by field, which directly relates to teacher employment and labor force challenges in schools."
899,Economic,Teacher,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Schools'}]",Asking whether there were newly-hired teachers pertains to teacher hiring and employment changes at the school (teacher workforce data).,Economic,Teacher,0.93,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about newly-hired teachers at a school, which relates to teacher employment status and hiring patterns."
910,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Language'}]","Asks for the count of ELL/LEP students enrolled, which is a school enrollment measure focused on language-status subgroup.",Social,School Enrollment,0.92,"[{'topic': 'Social', 'subtopic': 'Language'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks about the count of English Language Learner (ELL) or Limited English Proficient (LEP) students enrolled in a school, which directly relates to school enrollment and language proficiency tracking."
911,Social,Language,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks whether the school provides instruction targeted to ELL/LEP students, which pertains to language education programs in schools.",Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'Language'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses whether schools provide specialized instruction for ELL/LEP students, which is an educational program and service delivery question."
912,Social,Language,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks about instructional methods (ESL, bilingual, immersion) used to teach English to ELL/LEP students, a language instruction topic.",Social,Language,0.93,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question specifically asks about English language teaching methods (ESL, bilingual, immersion) for ELL/LEP students, directly addressing language instruction approaches."
913,Social,Language,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks whether ELL/LEP students are taught in regular English-speaking classrooms, relating to language instruction delivery in schools.",Social,Language,0.91,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about English language instruction placement for ELL/LEP students in mainstream classrooms, relating to language education and school practices."
914,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Services'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Asks about school participation in the National School Lunch Program, a school-level program tied to federal food service policy.",Social,Schools,0.88,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question asks about school participation in the National School Lunch Program, a federal social welfare program administered through schools."
915,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Asks whether any prekindergarten students were enrolled on a specified date, a school enrollment question about young children/age group.",Social,School Enrollment,0.94,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks whether a school has any pre-kindergarten students enrolled, which is a direct school enrollment question by grade level."
916,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Requests the number of prekindergarten students enrolled, a direct school enrollment count for a child/age subgroup.",Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks for the count of pre-kindergarten students enrolled in a school, which is a direct school enrollment statistic by grade level."
917,Social,Schools,0.05,[],"Question text is missing (NaN), so topic cannot be determined with confidence; defaulted to schools given surrounding questionnaire context.",Unknown,Unknown,0.0,[],No question text provided (NaN value); cannot categorize without question content.
918,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Services'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Asks for the percentage of prekindergarten students approved for free/reduced-price lunch, a school-level measure tied to the federal lunch program and food services.",Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the percentage of pre-kindergarten students approved for free/reduced-price lunches, combining school enrollment data with federal nutrition program eligibility."
919,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Services'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Asks for the percentage of K–12 students approved for free/reduced-price lunch, a school-level indicator linked to the federal National School Lunch Program and food services.",Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about the percentage of K-12 students approved for free/reduced-price lunches, combining school enrollment data with federal nutrition program eligibility."
920,Social,Schools,0.95,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Social', 'subtopic': 'Children'}]",This asks about student counts for a school meal program (NSLP) which is a school-level statistic; eligibility via direct certification is closely related to SNAP/food program participation and pertains to students.,Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question addresses National School Lunch Program eligibility determination at schools, which relates to school operations and student support services."
921,Social,Schools,0.95,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}]","Community Eligibility Option is a school meal policy affecting all students at a school, so it fits Schools; it is tied to federal nutrition program eligibility and SNAP connections.",Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Food Stamps (SNAP)'}, {'topic': 'Social', 'subtopic': 'Expenditures'}]","Question asks about school lunch program provision under Community Eligibility Option, relating to school food services and student support."
922,Social,Schools,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Title I services are education services delivered through schools, so Schools is primary; it's directly an education program serving students.",Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question addresses Title I service provision to students, which is a federal education support program administered through schools."
923,Social,Schools,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Education'}]","Asking for counts of Prekindergarten students participating in Title I is a school-level education/child statistic, so Schools with Children and Education as relevant secondaries.",Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question counts prekindergarten students participating in Title I program, relating to school enrollment and federal education services."
924,Social,Schools,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Education'}]","Counts of K-12 students in Title I are school education statistics, making Schools primary and Children/Education relevant secondary concepts.",Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question counts K-12 students in Title I program, relating to school enrollment and federal education support services."
925,Social,Schools,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Language'}]","This asks which instructional areas (reading, math, ESL) Title I covers at the school — a school/education question with a language instruction component (ESL).",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question identifies subject areas for Title I services including reading, math, and ESL, relating to school education programs and federal support."
926,Social,Schools,0.9,"[{'topic': 'Economic', 'subtopic': 'Teacher'}]","Asking for the number of designated Title I teachers is a school staffing count (Schools), and relates to teacher workforce measures (Economic: Teacher).",Social,Schools,0.85,"[{'topic': 'Economic', 'subtopic': 'Teacher'}, {'topic': 'Government', 'subtopic': 'Federal Government'}]","Question counts Title I teachers at school, relating to school staffing and federal education program implementation."
927,Social,Schools,0.9,[],Requesting the name of the questionnaire respondent is administrative information about the school contact and is best categorized under Schools.,Social,Schools,0.75,[],"Question requests respondent name for survey administration purposes, serving as administrative/contact information for the school questionnaire."
928,Social,Schools,0.9,[],Asking for the respondent's job title pertains to the school's administrative/staffing information and fits under Schools.,Social,Schools,0.75,"[{'topic': 'Economic', 'subtopic': 'Occupation'}]","Question asks for respondent's job title, serving as administrative information to identify the respondent's role within the school."
929,Social,Schools,0.9,[],"The respondent's work e-mail is contact/administrative information for the school, so it is categorized under Schools.",Social,Schools,0.75,[],Question requests respondent's work email for survey administration and follow-up contact purposes.
930,Social,Schools,0.75,[],"Asking for the school's phone number is an administrative/contact attribute of the school, which best fits the Schools subtopic.",Government,Geography,0.6,[],"This is administrative contact information for a school facility, which relates to geographic/institutional identification rather than substantive survey content."
931,Social,Schools,0.8,[],"The completion date is administrative metadata about the school questionnaire, categorized under Schools.",Government,Geography,0.5,[],"This is a survey administration/metadata question about completion date, not a substantive data collection question."
932,Social,Schools,0.75,[],"Time to complete the form is survey administration information related to the school, mapped to the Schools subtopic.",Government,Geography,0.5,[],"This is a survey administration/burden question about time to complete, not substantive data collection."
933,Social,School Enrollment,0.98,"[{'topic': 'Demographic', 'subtopic': 'Population'}]","This asks for counts of students by grade level (enrollment) on a reference date, which is School Enrollment; it also pertains to student population counts.",Social,School Enrollment,0.95,"[{'topic': 'Demographic', 'subtopic': 'Age'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question directly asks about student enrollment by grade level, which is a core school enrollment metric."
934,Social,School Enrollment,0.98,"[{'topic': 'Demographic', 'subtopic': 'Population'}]","Duplicate/parallel question requesting student counts by grade level (enrollment), so primary is School Enrollment with population as secondary.",Social,School Enrollment,0.95,"[{'topic': 'Demographic', 'subtopic': 'Age'}, {'topic': 'Social', 'subtopic': 'Education'}]","Duplicate question asking about student enrollment by grade level, which is a core school enrollment metric."
935,Social,School Enrollment,0.98,"[{'topic': 'Demographic', 'subtopic': 'Population'}]",Asking for the total number of students enrolled is a School Enrollment measure and relates to the student population.,Social,School Enrollment,0.95,"[{'topic': 'Demographic', 'subtopic': 'Population'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks for total student enrollment count, which is a fundamental school enrollment statistic."
936,Social,School Enrollment,0.9,"[{'topic': 'Demographic', 'subtopic': 'Population'}]","This asks for breakdowns of the enrolled student population (counts by characteristics) around a reference date, so School Enrollment is primary with population as secondary.",Social,School Enrollment,0.9,"[{'topic': 'Demographic', 'subtopic': 'Race'}, {'topic': 'Demographic', 'subtopic': 'Ethnicity'}]",Question asks about demographic breakdown of enrolled students (incomplete text suggests demographic categories like race/ethnicity).
937,Social,Schools,0.9,"[{'topic': 'Demographic', 'subtopic': 'Sex'}]",Whether a school is coeducational is an institutional characteristic of the school (Schools) and specifically relates to student sex composition.,Social,Education,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about school coeducational status, which is a characteristic of educational institutions related to student composition."
938,Demographic,Sex,0.95,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","The question asks for the number of male students, which is directly a Sex demographic variable, within the context of school enrollment.",Social,School Enrollment,0.95,"[{'topic': 'Demographic', 'subtopic': 'Sex'}, {'topic': 'Demographic', 'subtopic': 'Population'}]","Question asks for count of male students enrolled, which is a demographic breakdown of school enrollment."
939,Social,School Enrollment,0.95,"[{'topic': 'Demographic', 'subtopic': 'Population'}]","Asking whether any students were enrolled in 12th grade during a prior school year is a question about grade-level enrollment, fitting School Enrollment and student population.",Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks about 12th grade enrollment in the prior school year, which relates to school enrollment and educational levels."
900,Economic,Teacher,0.9,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Asks for a count of newly-hired teachers (staffing/teacher employment), so the Teacher subtopic is most relevant; school context is secondary.",Economic,Teacher,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Employment Status'}]","Question directly asks about newly-hired teachers at a school, which falls under the Teacher subtopic in Economic category. School staffing is also relevant to Social/Schools."
901,Economic,Teacher,0.88,"[{'topic': 'Economic', 'subtopic': 'Employment Status'}, {'topic': 'Social', 'subtopic': 'Schools'}]",Asks about novice teachers among newly hired staff — pertains to teacher workforce characteristics (employment/experience) in a school.,Economic,Teacher,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Tenure'}]","Question asks about first-year teachers among newly-hired staff, directly related to Teacher employment and tenure in educational settings."
902,Social,Schools,0.95,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question concerns whether the school issues high school diplomas, a core characteristic/policy of the school.",Social,Schools,0.88,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about school's credential-granting authority, which is a structural characteristic of schools and their educational programs."
903,Social,Schools,0.9,"[{'topic': 'Government', 'subtopic': 'School Districts'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]",Asks about a diploma requirement (community service) affecting graduates — a school/district policy; district-level governance is relevant.,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Government', 'subtopic': 'School Districts'}]","Question asks about diploma requirements and community service policies, which are school/district-level educational policies."
904,Social,Schools,0.88,"[{'topic': 'Government', 'subtopic': 'School Districts'}]","Asks for a specific graduation requirement (minimum community service hours), which is a school/district policy detail.",Social,Schools,0.84,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Government', 'subtopic': 'School Districts'}]","Question asks about specific community service hour requirements for diplomas, a school policy matter related to educational standards."
905,Social,Disability,0.96,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Children'}]",Asks whether enrolled K-12 students have IEPs due to disabilities — directly about student disabilities and special needs within the school.,Social,Disability,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly asks about students with disabilities and IEPs, which is the primary focus of the Disability subtopic in Social category."
906,Social,Disability,0.96,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]",Requests a count of students with IEPs for disabilities — a measurement of disability prevalence among enrolled students.,Social,Disability,0.94,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks for a count of students with disabilities and IEPs, directly measuring the disability population in schools."
907,Social,Disability,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asks whether the school's primary mission/population is serving students with disabilities — a programmatic characteristic tied to disability services.,Social,Disability,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks whether a school's primary mission is serving students with disabilities, a key characteristic related to disability services in education."
908,Social,Disability,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Breaks down counts of students with IEPs by instructional setting, directly about placement/services for students with disabilities within the school.",Social,Disability,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question asks about the distribution of students with disabilities across different instructional settings, measuring disability-related educational placement."
