Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
"There are some ways a parent (who doesn't live with a child) may provide support that are different than a child support payment. This is known as in-kind support. It may include things for the child such as groceries, clothes, or diapers. It can also include payments for things such as medical expenses or childcare. Between ^MONTH1 and ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME provide any in-kind support for ^CHILDCHILDREN_CS_SUPPORTPAY (outside of child support payments)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What is the estimate of the total value of all in-kind support ^TEMPNAME provided between ^MONTH1 and ^LASTMONTH ^CALENDAR_YRFIL (other than child support payments) ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, about how often did ^TEMPNAME see ^CS_THISCHILDYOUNGESTCHILD (who lived elsewhere)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"The following questions are about regular or lump sum support payments ^TEMPNAME might have made between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL to people living outside ^HISHER household. To which people who lived outside ^HISHER household did ^TEMPNAME make support payments: Read answer categories. Mark all that apply. Payments can be either mandatory or voluntary. Do not include people who were away at school and who were considered part of this household. Supported parents who are not the respondent's own (i.e., in-laws) should be classified as ""Someone else not related to ^HIMHER"". Supported children who are not the respondent's own should be classified as either ""Someone else related to ^HIMHER"" or ""Someone else not related to ^HIMHER"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many parents did ^TEMPNAME make support payments for (between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much did ... make in support payments to parents who lived elsewhere?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many of ^PTEMPNAME children 21 years old and older who lived elsewhere did ^TEMPNAME make support payments for (between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount ^TEMPNAME paid in support for ^HISHER children 21 years old or older who lived elsewhere between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many relatives other than parents and children did ^TEMPNAME make support payments for (between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount ^TEMPNAME paid in support for ^THISTHESE_ORSUP between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many current or ex-spouses or partners who lived elsewhere did ^TEMPNAME make support payments for (between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount ^TEMPNAME paid in support for ^HISHER current or ex-spouse(s) (or partner(s)) between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How many non-relatives did ^TEMPNAME make support payments for (between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL)?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount ^TEMPNAME paid in support for ^THISTHESE_NRSUP between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ^TEMPNAME file a federal income tax return during ^CALENDAR_YEAR for tax year ^CALENDAR_YEAR-1 ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^C_DODOES ^TEMPNAME plan to file a federal income tax return for tax year ^CALENDAR_YEAR-1?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"What ^WASWILL ^PTEMPNAME filing status on ^HISHER tax year ^CALENDAR_YEAR-1 federal income tax return... Read answer categories. Respondents should report their filing status for their ^CALENDAR_YEAR-1 tax return. To file as a head of household, you must be unmarried and have dependents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^C_FILED_WASWERE claimed as a dependent on ^PTEMPNAME parent's or someone else's income tax return for tax year ^CALENDAR_YEAR-1?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^C_DIDWILL ^TEMPNAME claim an Earned Income Tax Credit (EITC) on ^HISHER tax year ^CALENDAR_YEAR-1 federal income tax return? The EITC is a benefit for people who work and have low to moderate wage earnings. The EITC reduces the amount of taxes you may owe and often results in an income benefit to the eligible federal tax filer. This is different from the Expanded Child Tax Credit, which provides a monthly payment to families with children.",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME receive any money or income from any of the following sources... Read answer categories. Do not include any money or income received from the government due to the coronavirus pandemic. Mark all that apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL), how much did you receive from ^THISTHESE_MISC?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"What would you estimate the annual amount to be- less than $200, $200 to $400, $400 to $600, $600 to $800, or more than $800?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of transportation assistance... ... gas vouchers? (... bus or subway tokens or passes?) (... help registering, repairing, or insuring a car?) (... rides to a doctor's office or medical appointment?) (... some other kind of transportation assistance?) Do not include any assistance previously reported (such as commuting expenses paid by an employer).",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of transportation assistance...) (... gas vouchers?) ... bus or subway tokens or passes? (... help registering, repairing, or insuring a car?) (... rides to a doctor's office or medical appointment?) (... some other kind of transportation assistance?) Do not include any assistance previously reported (such as commuting expenses paid by an employer.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of transportation assistance...) (... gas vouchers?) (... bus or subway token or passes?) ... help registering, repairing, or insuring a car? (... rides to a doctor's office or medical appointment?) (... some other kind of transportation assistance?) Do not include any assistance previously reported (such as commuting expenses paid by an employer).",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of transportation assistance...) (... gas vouchers?) (... bus or subway tokens or passes?) (... help registering, repairing, or insuring a car?) ... rides to a doctor's office or medical appointment? (... some other kind of transportation assistance?) Do not include any assistance previously reported (such as commuting expenses paid by an employer).",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of transportation assistance...) (... gas vouchers?) (... bus or subway tokens or passes?) (... help registering, repairing, or insuring a car?) (... rides to a doctor's office or medical appointment?) ... some other kind of transportation assistance? Do not include any assistance previously reported (such as commuting expenses paid by an employer).",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the other kind of transportation assistance ^TEMPNAME received?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ^TEMPNAME receive the gas vouchers through a government social service agency?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the source of the gas voucher?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ^TEMPNAME receive the bus or subway tokens or passes through a government agency?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the source of the bus or subway tokens or passes?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
During which months did ^TEMPNAME receive transportation assistance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME receive any of the following types of food assistance... ... Money, vouchers, or certificates to buy groceries or food (Other than Food Stamps) ? (... Bags of groceries or packaged foods?) (... Any meals from a shelter, soup kitchen, Meals-on-Wheels, or other charity?) (... Any other food assistance?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YEAR, did ^TEMPNAME receive any of the following types of food assistance...) (... Money, vouchers, or certificates to buy groceries or food (Other than Food Stamps)?) ... Bags of groceries or packaged foods? (... Any meals from a shelter, soup kitchen, Meals-on-Wheels, or other charity?) (... Any other food assistance?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YEAR, did ^TEMPNAME receive any of the following types of food assistance...) (... Money, vouchers, or certificates to buy groceries or food (Other than Food Stamps)?) (... Bags of groceries or packaged foods?) ... Any meals from a shelter, soup kitchen, Meals-on-Wheels, or other charity? (... Any other food assistance?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YEAR, did ^TEMPNAME receive any of the following types of food assistance...) (... Money, vouchers, or certificates to buy groceries or food (Other than Food Stamps)?) (... Bags of groceries or packaged foods?) (... Any meals from a shelter, soup kitchen, Meals-on-Wheels, or other charity?) ... Any other food assistance?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the other type of food assistance ^TEMPNAME received?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Did person get the grocery money, vouchers, or certificates through a govermnet social service agency, through a community or religious charitable organization, through family or friends or through someplace else?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the other source of food assistance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
During which months did ^TEMPNAME receive food assistance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL,) Did ^TEMPNAME receive any of the following types of clothing assistance... Read answer categories. Mark all that apply",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Was this clothing assistance provided by... Read answer categories. Mark all that apply. Answer List: TCLOTHSCE Value: Description: 1 A Government agency? 2 A community or religious charity? 3 Family or friends? 4 An employer? 5 Someplace else?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the other source of clothing assistance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Since ^MONTH1 ^CALENDAR_YRFIL,) Did ^TEMPNAME receive any assistance to help pay for housing^ENERGYFIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
During which months did ^TEMPNAME receive ^OTHASSTFIL assistance?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME attend any of the following types of training... ...classes to improve basic reading or math skills? (...job readiness training to learn about resume writing, job interviewing, or building self-esteem?) (...job search programs or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications?) (...training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME attend any of the following types of training...) (...classes to improve basic reading or math skills?) ...job readiness training to learn about resume writing, job interviewing, or building self-esteem? (...job search programs or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications?) (...training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME attend any of the following types of training...) (...classes to improve basic reading or math skills?) (...job readiness training to learn about resume writing, job interviewing, or building self-esteem?) ...job search programs or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications? (...training to learn a specific job skill, such as computers, car repair, nursing, day care work, or some other job skill?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 and December ^CALENDAR_YRFIL, did ^TEMPNAME attend any of the following types of training...) (...classes to improve basic reading or math skills?) (...job readiness training to learn about resume writing, job interviewing, or building self-esteem?) (...job search programs or job clubs, or use any job resource centers to find out about jobs, to schedule interviews, or to fill out applications?) ...training to learn a specific job skill, s",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Since ^MONTH1 1st ^CALENDAR_YRFIL, did ^TEMPNAME participate in any work experience programs, such as a community service job, in exchange for ^PTEMPNAME ^TANF_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
During which months did ^TEMPNAME attend training?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Which of the following did ^YOUHESHE consider to be ^YOURHISHER main employer in December ^REFYEAR? Respondent must select one of the options below. If respondent is unsure, choose the job where respondent has the most earnings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Which of the following did ^YOUHESHE consider to be ^YOURHISHER main employer in December ^REFYEAR? Respondent must select one of the options below. If respondent is unsure, choose the job where respondent has the most earnings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^C_HAVHAS ^TEMPNAME ever retired, for any reason, from a job or business?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"If (NOWRK_1 NE 4) OR (NOWRK_1 = 4 and the No Job line end month DOES NOT equal interview month (EMONTH ne PROCEEDMONTHNUM)), then display: Did ^TEMPNAME change when ^YOUHESHE ^PLANPLANS to retire because of the coronavirus pandemic? If NOWRK_1 = 4 and the No Job line end month DOES equal interview month (EMONTH = PROCEEDMONTHNUM), then display: Did ^TEMPNAME change the timing of ^YOURHISHER retirement because of the coronavirus pandemic?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"If (NOWRK_1 NE 4) OR (NOWRK_1 = 4 and the No Job line end month DOES NOT equal interview month (EMONTH ne PROCEEDMONTHNUM)), then display: How did the coronavirus pandemic change ^PTEMPNAME plan to retire? Did ^YOUHESHE... If NOWRK_1 = 4 and the No Job line end month DOES equal interview month (EMONTH = PROCEEDMONTHNUM), then display: How did the coronavirus pandemic change the timing of ^PTEMPNAME retirement? Did ^YOUHESHE...",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Next are a couple of questions about retirement accounts. At any time between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME have a 401k, 403b, 503b, or thrift plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL) Did ^TEMPNAME ^ALSOFIL_IRA own a retirement plan, such as an Individual Retirement Account (IRA) or a Keogh account?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"(Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL) ^C_WASWERE ^TEMPNAME included in a plan that provides regular payments for life based on earnings or years on the job, such as a defined-benefit pension or cash balance plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^DODOES ^TEMPNAME have a defined-benefit pension from a current or previous job which will provide benefits in the future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^THR401_MULT_FIL As of the last day of ^LASTMONTH, ^CALENDAR_YEAR, what was the total balance or market value of the plan(s) ^TEMPNAME participated in?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Was the amount (as of the last day of ^LASTMONTH, ^CALENDAR_YEAR) less than $5,000, between $5,000 and $25,000, between $25,000 and $50,000, or more than $50,000?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"At any time in ^CALENDAR_YRFIL, did ^TEMPNAME receive any income or withdrawals from ^HISHER 401k, 403b, 503b, or thrift plan(s)^LUMP_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much income did ^TEMPNAME receive (from ^HISHER 401k, 403b, 503b, or thrift plan)^LUMP_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Was the annual amount less than $1,000, between $1,000 and $5,000, between $5,000 and $20,000, or more than $20,000?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^TEMPNAME have a 401k, 403b, 503b, or thrift plan provided through ^MJBNAME_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^HESHE contribute any money to the plan with ^MJBNAME_FIL, for example, through payroll deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much did ^TEMPNAME contribute toward this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^MJBNAME_FIL make contributions to this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much did ^MJBNAME_FIL contribute toward this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In addition to the plan through ^MJBNAME_FIL, did ^TEMPNAME have a 401k, 403b, 503b, or thrift plan provided through a previous employer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^IRA_MULT_FIL As of the last day of ^LASTMONTH, ^CALENDAR_YEAR, what was the total balance or market value of the account(s) ^TEMPNAME owned?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Was the amount (as of the last day of ^LASTMONTH, ^CALENDAR_YEAR) less than $5,000, between $5,000 and $25,000, between $25,000 and $50,000, or more than $50,000?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"At any time in ^CALENDAR_YRFIL, did ^TEMPNAME receive any income or withdrawals from ^HISHER IRA or Keogh account(s)^LUMP_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much income did ^TEMPNAME receive (from ^HISHER IRA or Keogh account) ^LUMP_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Was the annual amount less than $1,000, between $1,000 and $5,000, between $5,000 and $20,000, or more than $20,000?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^TEMPNAME have an IRA or Keogh account(s) provided through ^MJBNAME_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^HESHE contribute any money to the plan with ^MJBNAME_FIL, for example, through payroll deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much did ^TEMPNAME contribute toward this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^MJBNAME_FIL make contributions to this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, how much did ^MJBNAME_FIL contribute toward this plan?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In addition to the plan through ^MJBNAME_FIL, did ^TEMPNAME have an IRA or Keogh account(s) through a previous employer?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"^PENS_MULT_FIL. At any time in ^CALENDAR_YEAR, did ^TEMPNAME receive any income from ^HISHER pension or cash balance plan(s)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did ... receive retirement income at any time during the reference period?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^QSTNTXT_RETTYPE What type of retirement income did ^TEMPNAME receive since ^MONTH1 ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was that other type of retirement income?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, did ^TEMPNAME receive any retirement income from a paid-up life insurance policy or annuity?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Did that come as a single lump-sum?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL, during which months did ^TEMPNAME receive retirement income from a paid-up life insurance policy or annuity?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
What was the total amount of life insurance payments ^TEMPNAME received between ^MONTH1 1st and the end of ^LASTMONTH ^CALENDAR_YRFIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
^C_DODOES ^TEMPNAME receive ^RETIREMENT_TYPE now?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME last receive ^RETIREMENT_TYPE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME start receiving ^RETIREMENT_TYPE?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much ^DIDDO ^TEMPNAME receive in ^RETIREMENT_TYPE ^RETCURAMT_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
stimated monthly amount of retirement income. Universe: RET_1STAMT=DK Question Text: What would you estimate the monthly amount to be?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME start receiving ^RETAMT1_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much did ^TEMPNAME receive in ^RETIREMENT_TYPE ^RETSTART1_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME start receiving ^RETAMT2_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much did ^TEMPNAME receive in ^RETIREMENT_TYPE ^RETSTART2_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME start receiving ^RETAMT3_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much did ^TEMPNAME receive in ^RETIREMENT_TYPE ^RETSTART3_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
When did ^TEMPNAME start receiving ^RETAMT4_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
How much did ^TEMPNAME receive in ^RETIREMENT_TYPE ^RETSTARTAMT_FIL?,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^TEMPNAME have a pension or cash balance plan provided through ^MJBNAME_FIL?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"Was the plan(s) through ^MJBNAME_FIL a defined-benefit pension, a cash balance plan, or both?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
"In ^CALENDAR_YRFIL, did ^HESHE contribute any money to the ^PEN_CASH_FIL plan with ^MJBNAME_FIL, for example, through payroll deductions?",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
